status_id,created_at,text,iso_language_code,location,keyword_matches,user_id,screen_name,followers_count,friends_count,statuses_count,retweet_count,favorite_count,hashtags,datetime,date,urgent_need_flag,resource_flag
1388628450731171841,Sat May 01 22:56:36 +0000 2021,Nebulizer with repsules (levolin/budicort). Or Oxygen concentrator if possible. Reports awaited. Pharmacy Kamal hospital in Jaipuria enclave has nebulizer &amp; medicines available. If someone can go and get these things delivered. I am unable to move as I am also quarantined. Varun,en,"New Delhi, India",['Oxygen'],44425241,AdityaRajKaul,289793,8307,85711,14,9,[],2021-05-01 22:56:36+00:00,2021-05-01,False,True
1388626013781778432,Sat May 01 22:46:55 +0000 2021,@subha_moughal Kailash hospital Noida —  oxygen bed available if it’s still needed,en,Delhi,['Oxygen'],1126286546,iamsaurabh0227,30,89,683,0,0,[],2021-05-01 22:46:55+00:00,2021-05-01,True,True
1388625677667078150,Sat May 01 22:45:35 +0000 2021,"Verified at 4 AM, 1 May 2021
#Ambulance in #DelhiNCR available at 7061109242 

#Ambulances #delhi #CovidResources #covidhelp @imbindassM @Sairee @DsouzaJennifer @HarleenVij @sarvesh_ak",en,"New Delhi, India",['#covidresources'],3673612645,narangshreyaa,94,136,271,0,0,"['Ambulance', 'DelhiNCR', 'Ambulances', 'delhi', 'CovidResources', 'covidhelp']",2021-05-01 22:45:35+00:00,2021-05-01,False,True
1388620913877291008,Sat May 01 22:26:39 +0000 2021,"Update: Since no Covid ICU bed was available at hospital, doctors stabilised him on emergency and we brought him home; he is thankfully stable &amp; doing fine so far; the medicines have helped his neurological condition; hopefully we will find a bed &amp; Sunday will be a better day. https://t.co/G6QlwlEV8Z",en,"New Delhi, India",['ICU'],2799684222,AmbikaPanditTOI,3573,1440,4814,0,2,[],2021-05-01 22:26:39+00:00,2021-05-01,False,True
1388618426663407617,Sat May 01 22:16:46 +0000 2021,@pawanmvijay Sir where is oxygen bed available. Please let me know. It is very urgent.,en,New Delhi,['Oxygen'],55597278,mayank107,334,85,26137,0,0,[],2021-05-01 22:16:46+00:00,2021-05-01,True,True
1388614672325255168,Sat May 01 22:01:51 +0000 2021,"#delhi 

Oxygen is available in these places verified at 
2nd may late night 

#CovidSOS #CovidSOSIndia https://t.co/XVOU3fLQvj",en,new delhi india,['Oxygen'],420448967,thekamraman,353,591,1831,5,3,"['delhi', 'CovidSOS', 'CovidSOSIndia']",2021-05-01 22:01:51+00:00,2021-05-01,False,True
1388614272188665858,Sat May 01 22:00:16 +0000 2021,"#delhi 
Oxygen available at 5 am (verified at 2.50am)

Delhi Faridabad 
#CovidSOS 
#CovidSOSIndia https://t.co/ckepjuN1pZ",en,new delhi india,['Oxygen'],420448967,thekamraman,353,591,1831,4,1,"['delhi', 'CovidSOS', 'CovidSOSIndia']",2021-05-01 22:00:16+00:00,2021-05-01,False,True
1388611199781130241,Sat May 01 21:48:03 +0000 2021,@PMOIndia @ArvindKejriwal @myogiadityanath @mlkhattar Why delhi patients are not allowed in U.P. and Haryana hospitals while having oxygen beds available. This is insane level of insensitivity and politics. #NoDelhiPatient #COVIDEmergency #CovidIndia #ExitModi #ArvindKejariwal,en,"New Delhi, India",['Oxygen'],3301843106,RaghavTulsian,54,182,210,3,2,"['NoDelhiPatient', 'COVIDEmergency', 'CovidIndia', 'ExitModi', 'ArvindKejariwal']",2021-05-01 21:48:03+00:00,2021-05-01,True,True
1388608421583220736,Sat May 01 21:37:01 +0000 2021,"@NishitSud @LekhakAnurag @DrDeepakKrishn1 @NikipediaN Doctors in India, know how to manage covid very well. Problem is allotment of oxygen, availability of drugs. These are the rate limiting step. Maybe fly down from UK and experience a day in a covid ward first to know the reality, sir",en,"New Delhi, India",['Oxygen'],941310269367533568,onetargetonly20,19,38,91,0,0,[],2021-05-01 21:37:01+00:00,2021-05-01,False,True
1388606382727999493,Sat May 01 21:28:55 +0000 2021,@aproudempath The moment he will need oxygen he will the first one to run for it to inhale it from all the available holes of body. They are making fun of situation to look positive because they haven't seen helplessness of doctors and patients who are gasping for breath.,en,"New Delhi, India.",['Oxygen'],2919612788,dr_saurabh19,945,580,15825,1,2,[],2021-05-01 21:28:55+00:00,2021-05-01,True,True
