status_id,created_at,text,iso_language_code,location,keyword_matches,user_id,screen_name,followers_count,friends_count,statuses_count,retweet_count,favorite_count,hashtags,datetime,date,urgent_need_flag,resource_flag
1388642977560481794,Sat May 01 23:54:20 +0000 2021,"MR sheshadri
Age : 52
Gender: male  Plasma Group(if plasma request): O+
 Patient Attender Name : vinutha seshadri. +919980012111.
.Chandramouli. +919742824628
#Bangalore #RCB #Help
Hospital: Hcg tower # 8 P Kalinga rao road sampangi ram nagar 560027
 condition : critical",en,Mumbai India ,['plasma'],2200703269,ntdmagic,4806,609,49413,1,1,"['Bangalore', 'RCB', 'Help']",2021-05-01 23:54:20+00:00,2021-05-01,True,False
1388641502570565636,Sat May 01 23:48:28 +0000 2021,"Name: Mr. Rajendra Mishra
Age:  67 yrs
Sex: M
Covid Status : Positive 
Any Comorbidity: plasma therapy going on  
H/R( heart rate):

Current - Spo²: (fluctuating) 82
Oxygey support ( If any): yes
Current symptoms: fever, breathing problem  diabetes patient #help #Jhansi",en,Mumbai India ,['plasma'],2200703269,ntdmagic,4806,609,49413,2,0,"['help', 'Jhansi']",2021-05-01 23:48:28+00:00,2021-05-01,True,False
1388639920609132544,Sat May 01 23:42:11 +0000 2021,"@SoodFoundation My grandmother is 82 years old.
She had fever from last 3days.
Today her oxygen dropped to 80 all
Of sudden.need urgent 
Hospitalization and on beds 
Available please help 
7718942193/8779383638
Gurgaon sector 88",en,"Navi Mumbai, India",['Oxygen'],1303656640118288385,LalNilima,0,10,11,0,0,[],2021-05-01 23:42:11+00:00,2021-05-01,True,False
1388639804385107968,Sat May 01 23:41:43 +0000 2021,"@TeamSOSIndia We have designed a service to help COVID patients find plasma and COVID recovered people donate plasma (Verified) in all cities incl Delhi NCR, Mumbai, Kolkata. https://t.co/4yCCviZEvg
#plasmadonordelhi #plasmamumbai",en,Mumbai,['plasma'],1338824524423331840,RetweetsMumbai,1435,7,112308,2,2,"['plasmadonordelhi', 'plasmamumbai']",2021-05-01 23:41:43+00:00,2021-05-01,True,False
1388638726314549248,Sat May 01 23:37:26 +0000 2021,"👆👆👆👆Oxygen donated  from Saudi and relabelled in india by  Reliance,

#ExitModi #IStandWithModi #Modi #ElectionResult #ModiMustResign #COVID19 #JusticeForShahabuddin #Reliance #DelhiNeedsOxygen https://t.co/2ecKwCYILz",en,,['Oxygen'],125241516,khanadeeb88,141,211,1794,0,3,"['ExitModi', 'IStandWithModi', 'Modi', 'ElectionResult', 'ModiMustResign', 'COVID19', 'JusticeForShahabuddin', 'Reliance', 'DelhiNeedsOxygen']",2021-05-01 23:37:26+00:00,2021-05-01,True,False
1388636030803251203,Sat May 01 23:26:44 +0000 2021,Ventilator bed required for a 71 year old covid patient in Mumbai. Any verified leads are appreciated #Covid19IndiaHelp  #COVIDEmergency #Ventilator @mybmc @AUThackeray,en,Mumbai,['ventilator'],1338824524423331840,RetweetsMumbai,1435,7,112308,0,0,"['Covid19IndiaHelp', 'COVIDEmergency', 'Ventilator']",2021-05-01 23:26:44+00:00,2021-05-01,True,False
1388629450846179331,Sat May 01 23:00:35 +0000 2021,"@imjckfrst We need with oxygen 
And in Gurgaon 
Because all family members are covid positive",en,"Navi Mumbai, India",['Oxygen'],1303656640118288385,LalNilima,0,10,11,0,0,[],2021-05-01 23:00:35+00:00,2021-05-01,True,False
1388622064509063172,Sat May 01 22:31:14 +0000 2021,"Need Oxygen cylinder jumbo /  concentrator 10 L in #Delhi
Name : Abhishek Tyagi
Age : 38
Co-morbidity: No
Need of ICU Or not : not yet
SpO2 level : 86
Contact person: Poonam rustagi
Phone number 9891548422
 2 May 4am
@AkankshaDureja @SonuSood @SoodFoundation @vandana_k_19",en,Mumbai,"['ICU', 'Oxygen']",14988983,annucool15,532,346,1651,6,0,['Delhi'],2021-05-01 22:31:14+00:00,2021-05-01,True,False
1388621082450481153,Sat May 01 22:27:20 +0000 2021,Hospitals in India are struggling to cope with skyrocketing COVID-19 cases and urgently need oxygen and other critical supplies.  Donate today to help save lives. ❗👇 https://t.co/Zs9c1wcG6l,en,"मुंबई, भारत",['Oxygen'],1369025016172478467,af_hassan786,89,586,31,0,1,[],2021-05-01 22:27:20+00:00,2021-05-01,True,False
1388620452931653632,Sat May 01 22:24:49 +0000 2021,Please help urgent bed in MYSORE with oxygen need @SOSSaviours @TeamSOSIndia @sandhyafernez @Mysuru plz call Raghavendra 09945167673 my sis need help someone plz help,en,"Mumbai, India",['Oxygen'],910373872737964033,b_humble_always,11,63,27,4,2,[],2021-05-01 22:24:49+00:00,2021-05-01,True,False
1388617874172907520,Sat May 01 22:14:35 +0000 2021,@TeamSOSIndia @sandhyafernez urgent bed for my sis in MYSORE.. oxygen problem diabetic.. plz plz help plz help,en,"Mumbai, India",['Oxygen'],910373872737964033,b_humble_always,11,63,27,0,0,[],2021-05-01 22:14:35+00:00,2021-05-01,True,False
1388613732423458816,Sat May 01 21:58:07 +0000 2021,"Vivek sir...need your urgent help for oxygen bed at Sardar Patel covid center, for critically ill covid patient (female, 38), O2 level 80, high fever, gasping for breath. Please help save her. Patparganj Delhi  @vivekitbp  @ITBP_official",en,"Mumbai, Maharashtra",['Oxygen'],4232606662,VineetSaini1708,60,168,49,3,0,[],2021-05-01 21:58:07+00:00,2021-05-01,True,False
1388613380315963395,Sat May 01 21:56:43 +0000 2021,"@WeekendInvestng We have designed a service to help COVID patients find plasma and COVID recovered people donate plasma (Verified) in all cities incl Delhi NCR, Mumbai, Kolkata. https://t.co/4yCCviZEvg",en,Mumbai,['plasma'],1338824524423331840,RetweetsMumbai,1435,7,112308,1,1,[],2021-05-01 21:56:43+00:00,2021-05-01,True,False
1388608571810533378,Sat May 01 21:37:37 +0000 2021,@AUThackeray @MCGM_BMC @mybmcHealthDept Urgently require Bed at ICU with Ventilator facility for COVID Positive patient at Mumbai / Navi Mumbai. Kindly call on +919773849194 Zubair #sosmumbai,en,Mumbai,"['ICU', 'ventilator']",506954851,pranaygoyal2711,27,43,4,2,1,['sosmumbai'],2021-05-01 21:37:37+00:00,2021-05-01,True,False
1388607323279482886,Sat May 01 21:32:39 +0000 2021,"Urgent Requirement 
Need ICU bed in Delhi 
Patient Name : Shashi Ahuja
Age : 62
Spo2 :65 w/o oxygen support
HRCT Score : 17/25
Breathing issue : Yes
Coughing : Yes
Contact : 8080190901
Place : Delhi Uttam Nagar #DelhiNCR @srijitspeaketh @tiscatime @dakuwithchaku @COVResourcesIn",en,Mumbai,"['ICU', 'Oxygen']",84560135,sweeto_7,37,34,29,0,0,['DelhiNCR'],2021-05-01 21:32:39+00:00,2021-05-01,True,False
1388607028621287424,Sat May 01 21:31:29 +0000 2021,"Hey, A friend's Grandmom needs a icu ventilator bed in and around delhi urgently, please help!!

Sarita Rani
Age:79
Female
Oxygen level:80 with high pressure mask
Admitted: Gtb hospital Dilshad Garden

Contact: Anuj Malhotra : 9873534079

@AamAadmiParty @INCIndia   @BJP4Delhi",en,"Mumbai, India","['ICU', 'Oxygen', 'ventilator']",706740782099734529,lifeofsagar,43,174,73,0,0,[],2021-05-01 21:31:29+00:00,2021-05-01,True,False
1388606798500745216,Sat May 01 21:30:34 +0000 2021,"Hey, A friend's Grandmom needs a icu ventilator bed in and around delhi urgently, please help!!

Sarita Rani
Age:79
Female
Oxygen level:80 with high pressure mask
Admitted: Gtb hospital Dilshad Garden

Contact: Anuj Malhotra : 9873534079
@TeamSOSIndia",en,"Mumbai, India","['ICU', 'Oxygen', 'ventilator']",706740782099734529,lifeofsagar,43,174,73,4,1,[],2021-05-01 21:30:34+00:00,2021-05-01,True,False
1388602706340630529,Sat May 01 21:14:18 +0000 2021,@somyalakhani @Just_Screams @ikasnik In case a home ICU set up is needed https://t.co/PHyXSnI9O7,en,"mumbai,india",['ICU'],30751661,maanvigagroo,35297,638,12863,1,2,[],2021-05-01 21:14:18+00:00,2021-05-01,True,False
